	distance	word_pos	sent_pos	sent_nr	subj_nr	token	resolved	rt_fp	spill_fp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	target_skipped
130	?	3	3	39	10	him	0	92	124	?	him	False	O	False	3	0	0
131	?	3	44	39	11	him	0	152	112	?	him	False	O	False	3	0	0
132	?	3	35	39	12	him	0	0	236	?	him	False	O	False	3	0	1
133	?	3	113	39	13	him	0	244	152	?	him	False	O	False	3	0	0
134	?	3	156	39	14	him	0	0	220	?	him	False	O	False	3	0	1
135	?	3	183	39	15	him	0	0	156	?	him	False	O	False	3	0	1
136	?	3	96	39	16	him	0	184	356	?	him	False	O	False	3	0	0
137	?	3	122	39	17	him	0	260	0	?	him	False	O	False	3	0	0
138	?	3	94	39	18	him	0	0	172	?	him	False	O	False	3	0	1
139	?	3	66	39	19	him	0	168	120	?	him	False	O	False	3	0	0
140	?	3	173	39	20	him	0	0	128	?	him	False	O	False	3	0	1
141	?	3	79	39	21	him	0	0	144	?	him	False	O	False	3	0	1
142	?	3	140	39	22	him	0	176	292	?	him	False	O	False	3	0	0
143	?	3	150	39	23	him	0	192	244	?	him	False	O	False	3	0	0
144	?	3	64	39	24	him	0	296	160	?	him	False	O	False	3	0	0
145	?	3	44	39	25	him	0	0	244	?	him	False	O	False	3	0	1
146	?	3	190	39	27	him	0	232	296	?	him	False	O	False	3	0	0
147	?	3	78	39	28	him	0	356	216	?	him	False	O	False	3	0	0
148	?	3	45	39	29	him	0	0	0	?	him	False	O	False	3	0	1
149	?	3	66	39	30	him	0	0	304	?	him	False	O	False	3	0	1
150	?	3	127	39	31	him	0	208	68	?	him	False	O	False	3	0	0
151	?	3	82	39	32	him	0	188	244	?	him	False	O	False	3	0	0
152	?	3	82	39	33	him	0	180	252	?	him	False	O	False	3	0	0
153	?	3	22	39	34	him	0	456	248	?	him	False	O	False	3	0	0
154	?	3	86	39	35	him	0	156	168	?	him	False	O	False	3	0	0
155	?	3	9	39	36	him	0	248	0	?	him	False	O	False	3	0	0
156	?	3	103	39	37	him	0	132	180	?	him	False	O	False	3	0	0
157	?	3	21	39	38	him	0	0	368	?	him	False	O	False	3	0	1
158	?	3	193	39	39	him	0	0	0	?	him	False	O	False	3	0	1
