sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
19	1	157	0	He	True	?	40	0	0	0	0	0	0	0	0
19	1	6	0	He	True	?	41	0	0	0	0	256	404	404	404
19	1	19	0	He	True	?	42	0	0	0	0	252	252	252	380
19	1	76	0	He	True	?	43	0	0	0	0	316	316	316	316
20	1	106	0	He	True	?	1	276	276	276	276	152	260	260	260
20	1	202	0	He	True	?	2	180	180	180	180	0	0	0	0
20	1	120	0	He	True	?	3	0	0	0	0	248	624	624	624
20	1	102	0	He	True	?	4	0	0	0	0	260	412	412	412
20	1	131	0	He	True	?	5	32	32	32	32	0	0	0	0
20	1	133	0	He	True	?	6	192	192	192	192	144	144	144	144
20	1	63	0	He	True	?	7	56	56	56	56	112	112	112	112
20	1	139	0	He	True	?	8	240	240	240	240	160	160	160	160
20	1	137	0	He	True	?	10	0	0	0	0	0	0	0	0
